"","-","0","+"
"Bivalves",0,1000,0
"D piscivores",1000,0,0
"Detritus",0,1000,0
"Discards",663,0,337
"Fishery",0,0,1000
"Gelatinous zoop",0,1000,0
"L benthivores",0,1000,0
"Large pelagics",816,0,184
"Macrozoop",0,1000,0
"Megabenthos",0,1000,0
"Meiofauna",0,1000,0
"Mesozoop",0,1000,0
"Microflora",0,1000,0
"Microzoop",0,1000,0
"Other molluscs",0,1000,0
"Other pelagic mesopelagic",0,0,1000
"Phytoplankton",0,1000,0
"Sea birds",337,0,663
"Seals",841,0,159
"Sharks",890,0,110
"Shrimp",0,0,1000
"Small crab other arthropoda",0,1000,0
"Small pelagics",506,0,494
"Squids",316,0,684
"Toothed cetaceans",290,0,710
"Whales",1000,0,0
"Worms",0,1000,0
