"","-","0","+"
"Bivalves",0,1000,0
"D piscivores",0,1000,0
"Detritus",0,1000,0
"Discards",493,0,507
"Fishery",1000,0,0
"Large pelagics",0,0,1000
"Macrozoop",0,1000,0
"Megabenthos",0,1000,0
"Meiofauna",0,1000,0
"Mesozoop",0,1000,0
"Microflora",0,1000,0
"Microzoop",0,1000,0
"Other molluscs",0,1000,0
"Other pelagic mesopelagic",0,1000,0
"Phytoplankton",0,1000,0
"Sea birds",507,0,493
"Seals",0,0,1000
"Sharks",0,0,1000
"Shrimp",0,1000,0
"Small pelagics",0,1000,0
"Squids",0,1000,0
"Toothed cetaceans",0,0,1000
"Whales",0,0,1000
"Worms",0,1000,0
