"","-","0","+"
"Bivalves",716,0,284
"D piscivores",278,0,722
"Detritus",477,0,523
"Discards",460,0,540
"Fishery",846,0,154
"Gelatinous zoop",679,0,321
"L benthivores",330,0,670
"Large pelagics",273,0,727
"Macrozoop",491,0,509
"Megabenthos",371,0,629
"Meiofauna",435,0,565
"Mesozoop",361,0,639
"Microflora",611,0,389
"Microzoop",515,0,485
"Other molluscs",415,0,585
"Other pelagic mesopelagic",654,0,346
"Phytoplankton",373,0,627
"Sea birds",354,0,646
"Seals",660,0,340
"Sharks",111,0,889
"Shrimps",732,0,268
"Skates",439,0,561
"Small crab other arthropoda",703,0,297
"Small pelagics",298,0,702
"Squids",812,0,188
"Toothed cetaceans",244,0,756
"Whales",366,0,634
"Worms",444,0,556
