"","-","0","+"
"Bivalves",802,0,198
"D piscivores",510,0,490
"Detritus",639,0,361
"Discards",825,0,175
"Fishery",169,0,831
"Gelatinous zoop",275,0,725
"L benthivores",557,0,443
"Large pelagics",569,0,431
"Macrozoop",225,0,775
"Megabenthos",84,0,916
"Meiofauna",333,0,667
"Mesozoop",466,0,534
"Microflora",547,0,453
"Microzoop",594,0,406
"Other molluscs",728,0,272
"Other pelagic mesopelagic",294,0,706
"Phytoplankton",157,0,843
"Sea birds",352,0,648
"Seals",329,0,671
"Sharks",719,0,281
"Shrimps",360,0,640
"Skates",560,0,440
"Small crab other arthropoda",461,0,539
"Small pelagics",592,0,408
"Squids",266,0,734
"Toothed cetaceans",579,0,421
"Whales",368,0,632
"Worms",571,0,429
