"","-","0","+"
"Bivalves",976,0,24
"D piscivores",176,0,824
"Detritus",388,1,611
"Discards",18,0,982
"Fishery",978,0,22
"Gelatinous zoop",738,0,262
"L benthivores",919,0,81
"Large pelagics",132,0,868
"Macrozoop",648,0,352
"Megabenthos",955,0,45
"Meiofauna",388,4,608
"Mesozoop",352,1,647
"Microflora",447,2,551
"Microzoop",632,2,366
"Other molluscs",29,0,971
"Other pelagic mesopelagic",447,0,553
"Phytoplankton",647,1,352
"Sea birds",441,1,558
"Seals",745,0,255
"Sharks",400,0,600
"Shrimps",495,0,505
"Skates",441,0,559
"Small crab other arthropoda",982,0,18
"Small pelagics",351,0,649
"Squids",936,0,64
"Toothed cetaceans",296,0,704
"Whales",648,0,352
"Worms",386,7,607
