"","-","0","+"
"Bivalves",1000,0,0
"D piscivores",1000,0,0
"Detritus",1000,0,0
"Discards",0,0,1000
"Fishery",0,1000,0
"Gelatinous zoop",0,0,1000
"L benthivores",507,0,493
"Large pelagics",515,0,485
"Macrozoop",1000,0,0
"Megabenthos",0,1000,0
"Meiofauna",1000,0,0
"Mesozoop",0,0,1000
"Microflora",0,0,1000
"Microzoop",1000,0,0
"Other molluscs",0,1000,0
"Other pelagic mesopelagic",0,0,1000
"Phytoplankton",1000,0,0
"Sea birds",0,1000,0
"Seals",486,0,514
"Sharks",515,0,485
"Shrimps",1000,0,0
"Skates",0,1000,0
"Small crab other arthropoda",1000,0,0
"Small pelagics",515,0,485
"Squids",489,0,511
"Toothed cetaceans",0,1000,0
"Whales",1000,0,0
"Worms",1000,0,0
